.index,.value,.conf_lo,.conf_hi,Month
17/06/2022,1.698937153,NA,NA,10 months
18/06/2022,1.368589583,NA,NA,10 months
19/06/2022,0.893864931,NA,NA,10 months
20/06/2022,2.145393056,NA,NA,10 months
21/06/2022,0.387551389,NA,NA,10 months
22/06/2022,0.623340278,NA,NA,10 months
23/06/2022,1.670668403,NA,NA,10 months
24/06/2022,1.394745833,NA,NA,10 months
25/06/2022,1.258885417,NA,NA,10 months
26/06/2022,1.804852431,NA,NA,10 months
27/06/2022,1.018317708,NA,NA,10 months
28/06/2022,1.217724306,NA,NA,10 months
29/06/2022,1.737663889,NA,NA,10 months
30/06/2022,2.712030061,NA,NA,10 months
01/07/2022,2.231082759,NA,NA,10 months
02/07/2022,1.901282986,NA,NA,10 months
03/07/2022,2.300810764,NA,NA,10 months
04/07/2022,0.824482986,NA,NA,10 months
05/07/2022,1.447805903,NA,NA,10 months
06/07/2022,1.542794444,NA,NA,10 months
07/07/2022,0.855107292,NA,NA,10 months
08/07/2022,1.538985417,NA,NA,10 months
09/07/2022,1.206404167,NA,NA,10 months
10/07/2022,2.258291667,NA,NA,10 months
11/07/2022,1.820593056,NA,NA,10 months
12/07/2022,1.849984028,NA,NA,10 months
13/07/2022,1.723466667,NA,NA,10 months
14/07/2022,1.156826042,NA,NA,10 months
15/07/2022,0.386513889,NA,NA,10 months
16/07/2022,1.292538542,NA,NA,10 months
17/07/2022,2.503977778,NA,NA,10 months
18/07/2022,0.450251042,NA,NA,10 months
19/07/2022,2.400854514,NA,NA,10 months
20/07/2022,1.86106875,NA,NA,10 months
21/07/2022,3.167716319,NA,NA,10 months
22/07/2022,2.406262847,NA,NA,10 months
23/07/2022,1.837045139,NA,NA,10 months
24/07/2022,1.641955556,NA,NA,10 months
25/07/2022,0.815207986,NA,NA,10 months
26/07/2022,2.833456944,NA,NA,10 months
27/07/2022,1.91151195,NA,NA,10 months
28/07/2022,1.945563366,NA,NA,10 months
29/07/2022,0.544959375,NA,NA,10 months
30/07/2022,1.5553875,NA,NA,10 months
31/07/2022,3.001889083,NA,NA,10 months
01/08/2022,0.30229661,NA,NA,10 months
02/08/2022,1.293307292,NA,NA,10 months
03/08/2022,2.780509375,NA,NA,10 months
04/08/2022,1.637516319,NA,NA,10 months
05/08/2022,2.548803819,NA,NA,10 months
06/08/2022,2.017529167,NA,NA,10 months
07/08/2022,1.309562153,NA,NA,10 months
08/08/2022,1.717640625,NA,NA,10 months
09/08/2022,1.532463542,NA,NA,10 months
10/08/2022,1.569150347,NA,NA,10 months
11/08/2022,1.485265278,NA,NA,10 months
12/08/2022,1.576089236,NA,NA,10 months
13/08/2022,1.639046875,NA,NA,10 months
14/08/2022,1.2397625,NA,NA,10 months
15/08/2022,0.802059722,NA,NA,10 months
16/08/2022,0.751621528,NA,NA,10 months
17/08/2022,1.469442014,NA,NA,10 months
18/08/2022,1.123939236,NA,NA,10 months
19/08/2022,0.783787847,NA,NA,10 months
20/08/2022,1.290105556,NA,NA,10 months
21/08/2022,0.955396181,NA,NA,10 months
22/08/2022,1.357744906,NA,NA,10 months
23/08/2022,2.597292014,NA,NA,10 months
24/08/2022,1.482247569,NA,NA,10 months
25/08/2022,2.006594097,NA,NA,10 months
26/08/2022,1.991759028,NA,NA,10 months
27/08/2022,1.388339583,NA,NA,10 months
28/08/2022,1.538382639,NA,NA,10 months
29/08/2022,1.116085069,NA,NA,10 months
30/08/2022,2.266723264,NA,NA,10 months
31/08/2022,1.41150722,NA,NA,10 months
01/09/2022,1.830452083,NA,NA,10 months
02/09/2022,1.542970213,NA,NA,10 months
03/09/2022,0.547424306,NA,NA,10 months
04/09/2022,1.745832292,NA,NA,10 months
05/09/2022,1.331801736,NA,NA,10 months
06/09/2022,0.619145833,NA,NA,10 months
07/09/2022,0.8949875,NA,NA,10 months
08/09/2022,0.491457292,NA,NA,10 months
09/09/2022,2.395101042,NA,NA,10 months
10/09/2022,2.84719375,NA,NA,10 months
11/09/2022,0.977669792,NA,NA,10 months
12/09/2022,0.421713793,NA,NA,10 months
13/09/2022,1.337136507,-4.514280804,7.188553818,10 months
14/09/2022,1.187470203,-4.663947108,7.038887514,10 months
15/09/2022,1.42866615,-4.422751161,7.280083462,10 months
16/09/2022,1.308365443,-4.543051868,7.159782754,10 months
17/09/2022,1.650901527,-4.200515785,7.502318838,10 months
18/09/2022,1.796135557,-4.055281754,7.647552868,10 months
19/09/2022,1.362291362,-4.489125949,7.213708674,10 months
20/09/2022,1.5917073,-4.259710011,7.443124611,10 months
21/09/2022,1.435865294,-4.415552017,7.287282606,10 months
22/09/2022,1.670661193,-4.180756118,7.522078504,10 months
23/09/2022,1.543787282,-4.307630029,7.395204593,10 months
24/09/2022,1.274937532,-4.576479779,7.126354844,10 months
25/09/2022,1.413413799,-4.438003513,7.26483111,10 months
26/09/2022,0.972803322,-4.878613989,6.824220634,10 months
27/09/2022,1.195501399,-4.655915912,7.046918711,10 months
28/09/2022,1.033047083,-4.818370228,6.884464394,10 months
29/09/2022,1.261393026,-4.590024285,7.112810338,10 months
30/09/2022,1.128287487,-4.723129824,6.979704798,10 months
01/10/2022,1.336398585,-4.515018726,7.187815896,10 months
02/10/2022,1.691728708,-4.159688603,7.54314602,10 months
03/10/2022,1.245861563,-4.605555748,7.097278874,10 months
04/10/2022,1.463726911,-4.387690401,7.315144222,10 months
05/10/2022,1.552201698,-4.299215614,7.403619009,10 months
06/10/2022,1.776692574,-4.074724737,7.628109885,10 months
07/10/2022,1.384984601,-4.46643271,7.236401912,10 months
08/10/2022,1.542661196,-4.308756115,7.394078508,10 months
09/10/2022,1.673380185,-4.178037126,7.524797496,10 months
10/10/2022,1.22601757,-4.625399741,7.077434881,10 months
11/10/2022,1.443033834,-4.408383477,7.294451146,10 months
12/10/2022,1.531317982,-4.32009933,7.382735293,10 months
13/10/2022,1.756283132,-4.09513418,7.607700443,10 months
14/10/2022,1.36571512,-4.485702191,7.217132431,10 months
15/10/2022,1.259454089,-4.591963222,7.110871401,10 months
16/10/2022,1.39262369,-4.458793621,7.244041002,10 months
17/10/2022,0.94834514,-4.903072171,6.799762451,10 months
18/10/2022,1.169056769,-4.682360543,7.02047408,10 months
19/10/2022,1.261619898,-4.589797413,7.11303721,10 months
20/10/2022,1.491414615,-4.360002697,7.342831926,10 months
21/10/2022,1.106188586,-4.745228725,6.957605898,10 months
22/10/2022,1.271477213,-4.579940098,7.122894524,10 months
23/10/2022,1.410879969,-4.440537342,7.26229728,10 months
24/10/2022,0.973204551,-4.87821276,6.824621863,10 months
